Taxon,Family,Epoch,Habitat ,Habitat1,Habitat2,Diet,Feeding behaviour,Feeding1,Feeding2,Bodysize,Divetype,Regime
Acrophyseter_deinodon,physeterioidea,Miocene,,,,,,,,,,
Allodelphis_pratti,allodelphinidae,Oligocene,,,,,,,,,,
Aondelphis_talen,platanistoidea,Miocene,,,,,,,,,,
Awamokoa_tokarahi,platanistoidea,Oligocene,,,,,,,,,,
Berardius_arnuxii,ziphiidae,Extant,oceanic,oceanic,oceanic,generalist,suction,suction,suction,9000,verydeep,purple
Cephalorhynchus_commersonii,delphinidae,Extant,nearshore,nearshore,nearshore,generalist,raptorial/suction,raptorial,suction,66,shallow,black
Cephalorhynchus_heavisidii,delphinidae,Extant,nearshore,nearshore,nearshore,generalist,raptorial/suction,raptorial,suction,75,shallow,black
Delphinapterus_leucas,mondontidae,Extant,nearshore/oceanic,nearshore,oceanic,fish,suction,suction,suction,1600,mid,black
Delphinus_delphis,delphinidae,Extant,nearshore/oceanic,nearshore,oceanic,fish,raptorial,raptorial,raptorial,200,mid,black
Delphinus_sp,delphinidae,Pliocene,,,,,,,,,,
Echovenator_sp,xenorophidae,Oligocene,,,,,,,,,,
Eurhinodelphis_cocheteuxi,eurhinodelphinidae,Miocene,,,,,,,,,,
Feresa_attenuata,delphinidae,Extant,oceanic,oceanic,oceanic,generalist,raptorial,raptorial,raptorial,225,deep,black
Globicephala_melas,delphinidae,Extant,nearshore/oceanic,nearshore,oceanic,generalist,suction,suction,suction,2300,deep,black
Globicephala_sp,delphinidae,Pliocene,,,,,,,,,,
Globicephala_uncidens,delphinidae,Pliocene,,,,,,,,,,
Grampus_griseus,delphinidae,Extant,nearshore/oceanic,nearshore,oceanic,cephalopods,suction,suction,suction,500,deep,black
Haborophocoena_sp,phocoenidae,Pliocene,,,,,,,,,,
Haborophocoena_toyoshimai,phocoenidae,Pliocene,,,,,,,,,,
Hyperoodon_ampullatus,ziphiidae,Extant,oceanic,oceanic,oceanic,generalist,suction,suction,suction,10000,verydeep,purple
Hyperoodon_planifrons,ziphiidae,Extant,,,,,,,,,,
Inia_geoffrensis,iniidae,Extant,riverine,riverine,riverine,fish,raptorial,raptorial,raptorial,207,shallow,black
Iniidae_indet,iniidae,Miocene,,,,,,,,,,
Kentriodon_pernix,kentriodontidae,Miocene,,,,,,,,,,
Kogia_breviceps,kogiidae,Extant,oceanic,oceanic,oceanic,generalist,suction,suction,suction,680,deep,green
Kogia_sima,kogiidae,Extant,oceanic,oceanic,oceanic,cephalopods,suction,suction,suction,280,deep,green
Kogiidae_indet,kogiidae,Miocene,,,,,,,,,,
Lagenodelphis_hosei,delphinidae,Extant,oceanic,oceanic,oceanic,generalist,suction,suction,suction,210,deep,black
Lagenorhynchus_acutus,delphinidae,Extant,nearshore/oceanic,nearshore,oceanic,fish,raptorial/suction,raptorial,suction,235,mid,black
Lagenorhynchus_albirostris,delphinidae,Extant,nearshore/oceanic,nearshore,oceanic,fish,raptorial,raptorial,raptorial,350,mid,black
Lagenorhynchus_australis,delphinidae,Extant,nearshore,nearshore,nearshore,generalist,raptorial,raptorial,raptorial,115,shallow,black
Lagenorhynchus_cruciger,delphinidae,Extant,oceanic,oceanic,oceanic,generalist,unknown,unknown,unknown,94,deep,black
Lagenorhynchus_obliquidens,delphinidae,Extant,nearshore/oceanic,nearshore,oceanic,fish,raptorial,raptorial,raptorial,198,deep,black
Lagenorhynchus_obscurus,delphinidae,Extant,nearshore,nearshore,nearshore,generalist,raptorial,raptorial,raptorial,85,deep,black
Lipotes_vexillifer,lipotidae,Extant,riverine,riverine,riverine,fish,raptorial,raptorial,raptorial,167,shallow,black
Mesoplodon_bidens,ziphiidae,Extant,oceanic,oceanic,oceanic,generalist,suction,suction,suction,1500,verydeep,purple
Mesoplodon_grayi,ziphiidae,Extant,oceanic,oceanic,oceanic,generalist,suction,suction,suction,900,verydeep,purple
Mesoplodon_hectori,ziphiidae,Extant,oceanic,oceanic,oceanic,unknown,suction,suction,suction,500,verydeep,purple
Mesoplodon_mirus,ziphiidae,Extant,oceanic,oceanic,oceanic,generalist,suction,suction,suction,1400,verydeep,yellow
Miophocaena_nishinoi,phocoenidae,Miocene,,,,,,,,,,
Monodon_monoceros,mondontidae,Extant,nearshore/oceanic,nearshore,oceanic,generalist,suction,suction,suction,1800,deep,black
Monodontidae_indet,mondontidae,Pliocene,,,,,,,,,,
Neophocaena_phocaenoides,phocoenidae,Extant,nearshore,nearshore,nearshore,generalist,suction,suction,suction,55,shallow,black
NMVP232916,olympicetidae,Oligocene,,,,,,,,,,
Notocetus_vanbenedeni,squalodelphinidae,Miocene,,,,,,,,,,
Numatophocoena_yamashitai,phocoenidae,Pliocene,,,,,,,,,,
Olympicetus_sp,olympicetidae,Oligocene,,,,,,,,,,
Orcaella_brevirostris,delphinidae,Extant,riverine/nearshore,riverine,nearshore,generalist,suction,suction,suction,130,shallow,black
Orcaella_heinsohni,delphinidae,Extant,,,,,,,,,,
Orcinus_orca,delphinidae,Extant,nearshore/oceanic,nearshore,oceanic,generalist,raptorial/suction,raptorial,suction,6600,shallow,black
Otekaikea_huata,waipatiidae,Oligocene,,,,,,,,,,
Parapontoporia_sternbergi,lipotidae,Pliocene,,,,,,,,,,
Peponocephala_electra,delphinidae,Extant,oceanic,oceanic,oceanic,generalist,suction,suction,suction,275,deep,black
